count_reference,patern,heuristic,score,count_debts,r_master,r_rel/1.1,r_rel/1.10.0,r_rel/1.10.2,r_rel/1.2,r_rel/1.3,r_rel/1.4,r_rel/1.5,r_rel/1.6.0,r_rel/1.7.0,r_rel/1.8.0,r_rel/1.9.0,d_BUILD_DEBT,d_CODE_DEBT,d_DEFECT_DEBT,d_DESIGN_DEBT,d_DOCUMENTATION_DEBT,d_TEST_DEBT,d_UNKNOWN_DEBT,i_BRAIN_METHOD,i_BUILD_DEBT_I,i_CODE_DEBT_I,i_COMMENT_ANALYSIS,i_COMPLEX_METHOD,i_DEFECT_DEBT_I,i_DESIGN_DEBT,i_DOCUMENTATION_DEBT_I,i_DUPLICATED_CODE,i_FEATURE_ENVY,i_GOD_CLASS,i_TEST_DEBT_I,i_UNKNOWN_DEBT_I
-0.46013655443508045,-0.3007755862175608,-0.38540979100155526,-0.309480562553388,-0.474232808588931,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
-0.11902198874720749,0.32068000915546735,0.5762899186388378,0.3431376823744693,-0.15820391337265582,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
-0.11902198874720749,-0.20581657519415444,0.09544006381864115,-0.17198407172605829,-0.15820391337265582,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
-0.11902198874720749,2.383481910156233,5.224505181900738,2.6639695394282485,-0.15820391337265582,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1
-0.11902198874720749,1.3062230618708544,0.1274967208066544,1.2402818647518807,-0.15820391337265582,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1
-0.11902198874720749,1.1367577498906216,0.9128848170129756,1.1215720231663049,-0.15820391337265582,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1
-0.11902198874720749,2.9417094132662913,3.012595849727834,3.009358001683712,-0.15820391337265582,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,0,1,1,1,0,0,1,1,2,0,1
-0.11902198874720749,-0.31538466483654637,1.0891964304470476,-0.24794747952967214,-0.15820391337265582,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
-0.11902198874720749,-0.16198933933719767,-0.38540979100155526,-0.1801521800920383,-0.15820391337265582,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
-0.11902198874720749,-0.16198933933719767,0.09544006381864115,-0.13114352989615838,-0.15820391337265582,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
-0.11902198874720749,0.10389589152834015,0.2717516772527134,0.1345922622770572,-0.15820391337265582,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1
-0.11902198874720749,0.8489589010966053,0.3518933197227461,0.8370495817513355,-0.15820391337265582,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1
-0.11902198874720749,-0.030507631766327332,-0.38540979100155526,-0.05763055460233854,-0.15820391337265582,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
-0.11902198874720749,-0.31538466483654637,0.1274967208066544,-0.2969561297255521,-0.15820391337265582,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
-0.11902198874720749,-0.052421249694805716,0.1274967208066544,-0.05191287874615253,-0.15820391337265582,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1
-0.11902198874720749,0.11761381635156742,0.1274967208066544,0.10653481003991577,-0.15820391337265582,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1
-0.46013655443508045,-0.13277118209922648,-0.2999253723668536,-0.14421250328172636,-0.474232808588931,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
-0.46013655443508045,-0.20581657519415444,0.09544006381864115,-0.1883202884580183,-0.474232808588931,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,1
-0.46013655443508045,-0.32853283559363344,-0.38540979100155526,-0.33534623904565797,-0.474232808588931,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
-0.46013655443508045,-0.2350347324321256,-0.21444095373215205,-0.2307944519611142,-0.474232808588931,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
-0.46013655443508045,-0.3811255186219815,-0.38540979100155526,-0.3843548892415379,-0.474232808588931,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
-0.8012511201229534,-0.38843005793147434,-0.18238429674413895,-0.3786372133853519,-0.7902617038052062,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
-0.8012511201229534,-0.39208232758622075,-0.38540979100155526,-0.39456502469901283,-0.7902617038052062,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
-0.8012511201229534,-0.34460282207451753,-0.2999253723668536,-0.34596477992143193,-0.7902617038052062,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1
-0.8012511201229534,-0.35921190069350317,-0.2999253723668536,-0.3552219694028759,-0.7902617038052062,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
-0.8012511201229534,-0.3007755862175608,-0.38540979100155526,-0.309480562553388,-0.7902617038052062,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
-0.8012511201229534,-0.41399594551469915,-0.38540979100155526,-0.4149852956139628,-0.7902617038052062,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
-0.8012511201229534,-0.38477778827672793,-0.18238429674413895,-0.3752338348995269,-0.7902617038052062,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
-0.8012511201229534,-0.39573459724096716,-0.25718316304950284,-0.38925575426112585,-0.7902617038052062,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
-0.8012511201229534,-0.40669140620520633,-0.22512650606148976,-0.4000104302763328,-0.7902617038052062,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
-0.8012511201229534,-0.19485976622991524,-0.05348982177150293,-0.18566565323907477,-0.7902617038052062,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,2,0,1
-0.8012511201229534,-0.35921190069350317,-0.34266758168420447,-0.3595782938647319,-0.7902617038052062,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1
-0.8012511201229534,-0.3993868668957135,-0.38540979100155526,-0.40137178167066284,-0.7902617038052062,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
-0.8012511201229534,-0.39208232758622075,-0.38540979100155526,-0.39456502469901283,-0.7902617038052062,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
-0.8012511201229534,-0.37016870965774235,-0.38540979100155526,-0.37414475378406287,-0.7902617038052062,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
-0.8012511201229534,-0.41399594551469915,-0.38540979100155526,-0.4149852956139628,-0.7902617038052062,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
-0.8012511201229534,-0.38477778827672793,-0.38540979100155526,-0.3877582677273628,-0.7902617038052062,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
-0.8012511201229534,-0.2898187772533216,-0.38540979100155526,-0.299270427095913,-0.7902617038052062,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,1
-0.8012511201229534,-0.3811255186219815,-0.38540979100155526,-0.3843548892415379,-0.7902617038052062,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,2,0,0
-0.8012511201229534,-0.4030391365504599,-0.38540979100155526,-0.4047751601564878,-0.7902617038052062,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
-0.8012511201229534,-0.41399594551469915,-0.38540979100155526,-0.4149852956139628,-0.7902617038052062,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
-0.8012511201229534,-0.41399594551469915,-0.38540979100155526,-0.4149852956139628,-0.7902617038052062,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
-0.8012511201229534,-0.41399594551469915,-0.38540979100155526,-0.4149852956139628,-0.7902617038052062,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
-0.8012511201229534,-0.41399594551469915,-0.38540979100155526,-0.4149852956139628,-0.7902617038052062,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
-0.8012511201229534,-0.34825509172926394,-0.2625259392141717,-0.34120005004127696,-0.7902617038052062,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
-0.8012511201229534,-0.41034367585995274,-0.38540979100155526,-0.4115819171281378,-0.7902617038052062,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
-0.8012511201229534,-0.4030391365504599,-0.38540979100155526,-0.4047751601564878,-0.7902617038052062,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
-0.8012511201229534,-0.4176482151694455,-0.22512650606148976,-0.4170273227054578,-0.7902617038052062,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
-0.8012511201229534,-0.4030391365504599,-0.38540979100155526,-0.4047751601564878,-0.7902617038052062,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
-0.8012511201229534,-0.39573459724096716,-0.38540979100155526,-0.39796840318483784,-0.7902617038052062,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
-0.8012511201229534,0.14297517683412658,0.1602212248152511,0.155284803470873,-0.7902617038052062,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,1,0,0,1,0,2,0,1
-0.8012511201229534,-0.37747324896723516,-0.30994307767560775,-0.37325987537774835,-0.7902617038052062,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1
-0.8012511201229534,-0.34825509172926394,-0.38540979100155526,-0.3537244828691129,-0.7902617038052062,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
-0.8012511201229534,-0.3263414738007856,-0.2197837298968209,-0.316423454664471,-0.7902617038052062,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
-0.8012511201229534,-0.37016870965774235,-0.38540979100155526,-0.37414475378406287,-0.7902617038052062,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
-0.8012511201229534,-0.40669140620520633,-0.38540979100155526,-0.4081785386423128,-0.7902617038052062,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
-0.8012511201229534,-0.35555963103875676,-0.34266758168420447,-0.3561749153789069,-0.7902617038052062,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
-0.8012511201229534,-0.41399594551469915,-0.38540979100155526,-0.4149852956139628,-0.7902617038052062,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
-0.8012511201229534,-0.32999374345553195,-0.38540979100155526,-0.33670759043998794,-0.7902617038052062,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
-0.8012511201229534,-0.40669140620520633,-0.38540979100155526,-0.4081785386423128,-0.7902617038052062,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
-0.8012511201229534,-0.41034367585995274,-0.38540979100155526,-0.4115819171281378,-0.7902617038052062,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
-0.8012511201229534,-0.40669140620520633,-0.38540979100155526,-0.4081785386423128,-0.7902617038052062,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
-0.8012511201229534,-0.38843005793147434,-0.38540979100155526,-0.39116164621318783,-0.7902617038052062,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
-0.8012511201229534,-0.40669140620520633,-0.38540979100155526,-0.4081785386423128,-0.7902617038052062,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
-0.8012511201229534,-0.40669140620520633,-0.38540979100155526,-0.4081785386423128,-0.7902617038052062,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
